Most common words,DonaldTrump.txt Relative frequency,hillaryClinton.txt Relative frequency,Relative frequency difference
felt,0.0,0.0015105740181268882,0.0015105740181268882
otherwis,0.0,0.0015105740181268882,0.0015105740181268882
nasa,0.0,0.0015105740181268882,0.0015105740181268882
minist,0.0,0.0015105740181268882,0.0015105740181268882
around,0.0,0.0015105740181268882,0.0015105740181268882
ask,0.0,0.0015105740181268882,0.0015105740181268882
could,0.0,0.0015105740181268882,0.0015105740181268882
astronaut,0.0,0.0015105740181268882,0.0015105740181268882
inform,0.0,0.0015105740181268882,0.0015105740181268882
accept,0.0,0.0015105740181268882,0.0015105740181268882
east,0.0,0.0015105740181268882,0.0015105740181268882
council,0.0,0.0015105740181268882,0.0015105740181268882
newspap,0.0,0.0015105740181268882,0.0015105740181268882
select,0.0,0.0015105740181268882,0.0015105740181268882
honor,0.0,0.0015105740181268882,0.0015105740181268882
societi,0.0,0.0015105740181268882,0.0015105740181268882
vice,0.0,0.0015105740181268882,0.0015105740181268882
junior,0.0,0.0015105740181268882,0.0015105740181268882
boy,0.0,0.0015105740181268882,0.0015105740181268882
told,0.0,0.0015105740181268882,0.0015105740181268882
realli,0.0,0.0015105740181268882,0.0015105740181268882
stupid,0.0,0.0015105740181268882,0.0015105740181268882
think,0.0,0.0015105740181268882,0.0015105740181268882
thennew,0.0,0.0015105740181268882,0.0015105740181268882
merit,0.0,0.0015105740181268882,0.0015105740181268882
finalist,0.0,0.0015105740181268882,0.0015105740181268882
succeed,0.0,0.0015105740181268882,0.0015105740181268882
top,0.0,0.0015105740181268882,0.0015105740181268882
five,0.0,0.0015105740181268882,0.0015105740181268882
percent,0.0,0.0015105740181268882,0.0015105740181268882
want,0.0,0.0015105740181268882,0.0015105740181268882
profession,0.0,0.0015105740181268882,0.0015105740181268882
career,0.0,0.0015105740181268882,0.0015105740181268882
letter,0.0,0.0015105740181268882,0.0015105740181268882
primari,0.0,0.0015105740181268882,0.0015105740181268882
cover,0.0,0.0015105740181268882,0.0015105740181268882
fail,0.0,0.0015105740181268882,0.0015105740181268882
approv,0.0,0.0015105740181268882,0.0015105740181268882
play,0.0,0.0015105740181268882,0.0015105740181268882
lead,0.0,0.0015105740181268882,0.0015105740181268882
creation,0.0,0.0015105740181268882,0.0015105740181268882
adopt,0.0,0.0015105740181268882,0.0015105740181268882
safe,0.0,0.0015105740181268882,0.0015105740181268882
foster,0.0,0.0015105740181268882,0.0015105740181268882
equal,0.0,0.0015105740181268882,0.0015105740181268882
un,0.0,0.0015105740181268882,0.0015105740181268882
confer,0.0,0.0015105740181268882,0.0015105740181268882
marit,0.0,0.0015105740181268882,0.0015105740181268882
relationship,0.0,0.0015105740181268882,0.0015105740181268882
came,0.0,0.0015105740181268882,0.0015105740181268882
lewinski,0.0,0.0015105740181268882,0.0015105740181268882
scandal,0.0,0.0015105740181268882,0.0015105740181268882
reaffirm,0.0,0.0015105740181268882,0.0015105740181268882
commit,0.0,0.0015105740181268882,0.0015105740181268882
marriag,0.0,0.0015105740181268882,0.0015105740181268882
simultan,0.0,0.0015105740181268882,0.0015105740181268882
hold,0.0,0.0015105740181268882,0.0015105740181268882
reelect,0.0,0.0015105740181268882,0.0015105740181268882
gain,0.0,0.0015105740181268882,0.0015105740181268882
reform,0.0,0.0015105740181268882,0.0015105740181268882
outreach,0.0,0.0015105740181268882,0.0015105740181268882
healthcar,0.0,0.0015105740181268882,0.0015105740181268882
wife,0.0,0.0015105740181268882,0.0015105740181268882
member,0.0,0.0015105740181268882,0.0015105740181268882
woman,0.0,0.0015105740181268882,0.0015105740181268882
therebi,0.0,0.0015105740181268882,0.0015105740181268882
wellesley,0.0,0.0015105740181268882,0.0015105740181268882
juri,0.0,0.0015105740181268882,0.0015105740181268882
doctor,0.0,0.0015105740181268882,0.0015105740181268882
congression,0.0,0.0015105740181268882,0.0015105740181268882
marri,0.0,0.0015105740181268882,0.0015105740181268882
futur,0.0,0.0015105740181268882,0.0015105740181268882
cofound,0.0,0.0015105740181268882,0.0015105740181268882
corpor,0.0,0.0015105740181268882,0.0015105740181268882
partner,0.0,0.0015105740181268882,0.0015105740181268882
littl,0.0,0.0015105740181268882,0.0015105740181268882
rock,0.0,0.0015105740181268882,0.0015105740181268882
rose,0.0,0.0015105740181268882,0.0015105740181268882
firm,0.0,0.0015105740181268882,0.0015105740181268882
journal,0.0,0.0015105740181268882,0.0015105740181268882
hundr,0.0,0.0015105740181268882,0.0015105740181268882
influenti,0.0,0.0015105740181268882,0.0015105740181268882
america,0.0,0.0015105740181268882,0.0015105740181268882
steer,0.0,0.0015105740181268882,0.0015105740181268882
role,0.0,0.0015105740181268882,0.0015105740181268882
hall,0.0,0.0015105740181268882,0.0015105740181268882
prevent,0.0,0.0015105740181268882,0.0015105740181268882
arab,0.0,0.0015105740181268882,0.0015105740181268882
controversi,0.0,0.0015105740181268882,0.0015105740181268882
spring,0.0,0.0015105740181268882,0.0015105740181268882
intervent,0.0,0.0015105740181268882,0.0015105740181268882
file,0.0,0.0015105740181268882,0.0015105740181268882
libya,0.0,0.0015105740181268882,0.0015105740181268882
harshli,0.0,0.0015105740181268882,0.0015105740181268882
critic,0.0,0.0015105740181268882,0.0015105740181268882
failur,0.0,0.0015105740181268882,0.0015105740181268882
intens,0.0,0.0015105740181268882,0.0015105740181268882
subject,0.0,0.0015105740181268882,0.0015105740181268882
multin,0.0,0.0015105740181268882,0.0015105740181268882
adequ,0.0,0.0015105740181268882,0.0015105740181268882
server,0.0,0.0015105740181268882,0.0015105740181268882
benghazi,0.0,0.0015105740181268882,0.0015105740181268882
isol,0.0,0.0015105740181268882,0.0015105740181268882
regim,0.0,0.0015105740181268882,0.0015105740181268882
sanction,0.0,0.0015105740181268882,0.0015105740181268882
use,0.0,0.0015105740181268882,0.0015105740181268882
forc,0.0,0.0015105740181268882,0.0015105740181268882
curtail,0.0,0.0015105740181268882,0.0015105740181268882
jcpoa,0.0,0.0015105740181268882,0.0015105740181268882
singl,0.0,0.0015105740181268882,0.0015105740181268882
review,0.0,0.0015105740181268882,0.0015105740181268882
diplomaci,0.0,0.0015105740181268882,0.0015105740181268882
oppos,0.0,0.0015105740181268882,0.0015105740181268882
benefit,0.0,0.0015105740181268882,0.0015105740181268882
impact,0.0,0.0015105740181268882,0.0015105740181268882
septemb,0.0,0.0015105740181268882,0.0015105740181268882
resolut,0.0,0.0015105740181268882,0.0015105740181268882
author,0.0,0.0015105740181268882,0.0015105740181268882
iraq,0.0,0.0015105740181268882,0.0015105740181268882
quadrenni,0.0,0.0015105740181268882,0.0015105740181268882
thi,0.0,0.0015105740181268882,0.0015105740181268882
surg,0.0,0.0015105740181268882,0.0015105740181268882
troop,0.0,0.0015105740181268882,0.0015105740181268882
winner,0.0,0.0015105740181268882,0.0015105740181268882
term,0.0,0.0015105740181268882,0.0015105740181268882
administr,0.0,0.0015105740181268882,0.0015105740181268882
presidenti,0.007662835249042145,0.00906344410876133,0.001400608859719185
colleg,0.005747126436781609,0.004531722054380665,0.001215404382400944
attend,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
care,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
nuclear,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
organ,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
one,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
develop,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
attack,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
met,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
lawyer,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
popular,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
octob,0.0019157088122605363,0.0030211480362537764,0.0011054392239932401
